Título,Coordenador,Campus,Período de Execução
Inclusão Digital Infantil: Usando a Tecnologia para a Formação do Pequeno Cidadão,Flavio Augusto Maia Santiago,PIRAPORA,De 02/05/2019 a 18/12/2019
Adolescentes e Idosos: encontro de gerações por meio de atividades artísticas,Maria do Socorro Vieira Barreto,PIRAPORA,De 02/05/2019 a 12/12/2019
CURSO DE DESENVOLVIMENTO DE APLICATIVOS MÓVEIS PARA INICIANTES,Silvio Rodrigo Silva Cesar,PIRAPORA,De 01/05/2019 a 31/10/2019
Apresentando o IFNMG campus Pirapora,Josue Batista Antunes,PIRAPORA,De 02/05/2019 a 31/10/2019
Estudo para projetos de requalificação arquitetônica e de infraestrutura de projetos complementares para as instalações da Sede da Associação de Catadores e Recicladores de Pirapora,Anderson Ricardo dos Anjos,PIRAPORA,De 02/05/2019 a 20/12/2019
Programa Forças no Esporte (PROFESP) - Reforço de Matemática para o Ensino Fundamental,Julio Cesar Pereira Braga,PIRAPORA,De 02/05/2019 a 31/10/2019
REVISANDO CONCEITOS DE MATEMÁTICA DO ENSINO MÉDIO,Maria Neuza Almeida Queiroz,PIRAPORA,De 02/05/2019 a 31/10/2019
REVISANDO CONCEITOS DE FÍSICA DO ENSINO MÉDIO,Maria Neuza Almeida Queiroz,PIRAPORA,De 02/05/2019 a 31/10/2019
REVISANDO CONCEITOS DE QUÍMICA DO ENSINO MÉDIO,Livia Clara Tavares Lacerda,PIRAPORA,De 02/05/2019 a 31/10/2019
Incluir,Alessandro Carneiro Ribeiro,PIRAPORA,De 02/05/2019 a 29/11/2019
CONSULTORIA EMPRESARIAL: APLICAÇÃO NAS MICROEMPRESAS DE PIRAPORA/MG,Daniel Rocha Silva,PIRAPORA,De 13/08/2019 a 16/12/2019
Sorrir e Brincar é Só Começar,Rosemary Barbosa da Silva Moura,PIRAPORA,De 12/08/2019 a 25/10/2019
