INSTITUIÇÃO,GRUPO,LÍDER,ÁREA PREDOMINANTE,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Tecnologias agrícolas e desenvolvimento rural sustentável para o semi-árido mineiro,Dilermando Dourado Pacheco,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Hidrovales - Grupo de Pesquisa em Recursos Hídricos e Ambientais do Norte de Minas Gerais,Marcelo Rossi Vicente,Engenharia Agrícola,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Educação ciência e tecnologia aplicadas a desenvolvimento sustentável, preservação ambiental e ",Edinei Canuto Paiva,Física,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,GESTÃO E MANEJO INTEGRADO DOS RECURSOS HÍDRICOS NO SEMI-ÁRIDO MINEIRO,José Alberto Alves de Souza,Engenharia Agrícola,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,AUTOMAÇÃO DE PROCESSOS COM ARDUINO,Flávio Santos Medeiros da Fonseca,Ciência da Computação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Tecnologias Para a Produção Animal no Semi-árido Norte Mineiro,Joabe Jobson de Oliveira Pimentel,Zootecnia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Educação Profissional e Tecnológica,Antônio Carlos Soares Martins,Educação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Currículo e Diversidade,Lillian Gonçalves de Melo,Educação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Cosmovisão Cristã e Realidade,Wendell Lessa Vilela Xavier,Teologia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Silvicultura na Região Norte de Minas Gerais,Tiago Reis Dutra,Recursos Florestais e Engenharia Florestal,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Inteligência Computacional Aplicada,Alison Zille Lopes,Ciência da Computação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Linguagem, Memória e Cultura",Wendell Lessa Vilela Xavier,Lingüística,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Tecnologias da Informação,Joselice Ferreira Lima,Ciência da Computação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Núcleo de Estudos e Pesquisas Rurais,Fabiano Rosa de Magalhães,Sociologia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos e Pesquisas sobre Juventudes,Fabiano Rosa de Magalhães,Sociologia,,
,,,Total de registros:87,,
,,,Gerado em:28/04/2020,,
